UNITID,EFALEVEL,EFTOTLT,EFTOTLM,EFTOTLW
119137,1,14206,6875,7331
119164,1,28481,13874,14607
119173,1,3274,309,2965
119216,1,14170,6057,8113
119234,1,105,54,51
119270,1,1204,978,226
119331,1,6308,2762,3546
119340,1,267,51,216
119359,1,696,174,522
119368,1,232,59,173
119438,1,172,22,150
119456,1,494,74,420
119465,1,561,139,422
119508,1,747,329,418
119544,1,813,216,597
119553,1,764,265,499
119605,1,18207,7236,10971
119678,1,2870,2466,404
119775,1,514,363,151
119845,1,153,3,150
119951,1,275,7,268
120069,1,280,34,246
120078,1,550,93,457
120087,1,193,36,157
120166,1,988,586,402
120184,1,2030,609,1421
120254,1,2128,930,1198
120272,1,70,6,64
120290,1,10310,5191,5119
120342,1,21886,11344,10542
120403,1,1086,381,705
120421,1,6939,3167,3772
120537,1,1356,589,767
120661,1,895,265,630
120698,1,948,205,743
120740,1,99,51,48
120768,1,1072,74,998
120795,1,183,80,103
120838,1,173,85,88
120865,1,1647,725,922
120883,1,6421,2960,3461
120953,1,3253,2494,759
120971,1,24665,13773,10892
121017,1,99,4,95
